lat,lon,distance_m,fspl_db,snr_db,class
37.38164378,-122.11349815,4480.20,101.04,63.96,good
37.38164378,-122.10215503,4130.40,100.33,64.67,good
37.38164378,-122.09081192,4007.02,100.07,64.93,good
37.38164378,-122.07946881,4130.40,100.33,64.67,good
37.38164378,-122.06812569,4480.20,101.04,63.96,good
37.39065279,-122.12484126,4250.47,100.58,64.42,good
37.39065279,-122.11349815,3612.08,99.17,65.83,good
37.39065279,-122.10215503,3167.89,98.03,66.97,good
37.39065279,-122.09081192,3005.27,97.57,67.43,good
37.39065279,-122.07946881,3167.89,98.03,66.97,good
37.39065279,-122.06812569,3612.08,99.17,65.83,good
37.39065279,-122.05678258,4250.47,100.58,64.42,good
37.39966180,-122.13618437,4480.42,101.04,63.96,good
37.39966180,-122.12484126,3612.18,99.17,65.83,good
37.39966180,-122.11349815,2833.56,97.06,67.94,good
37.39966180,-122.10215503,2240.05,95.02,69.98,good
37.39966180,-122.09081192,2003.51,94.05,70.95,good
37.39966180,-122.07946881,2240.05,95.02,69.98,good
37.39966180,-122.06812569,2833.56,97.06,67.94,good
37.39966180,-122.05678258,3612.18,99.17,65.83,good
37.39966180,-122.04543947,4480.42,101.04,63.96,good
37.40867081,-122.13618437,4130.58,100.33,64.67,good
37.40867081,-122.12484126,3168.00,98.03,66.97,good
37.40867081,-122.11349815,2240.10,95.02,69.98,good
37.40867081,-122.10215503,1416.74,91.04,73.96,good
37.40867081,-122.09081192,1001.76,88.03,76.97,good
37.40867081,-122.07946881,1416.74,91.04,73.96,good
37.40867081,-122.06812569,2240.10,95.02,69.98,good
37.40867081,-122.05678258,3168.00,98.03,66.97,good
37.40867081,-122.04543947,4130.58,100.33,64.67,good
37.41767982,-122.13618437,4007.02,100.07,64.93,good
37.41767982,-122.12484126,3005.27,97.57,67.43,good
37.41767982,-122.11349815,2003.51,94.05,70.95,good
37.41767982,-122.10215503,1001.76,88.03,76.97,good
37.41767982,-122.09081192,0.00,0.00,165.00,good
37.41767982,-122.07946881,1001.76,88.03,76.97,good
37.41767982,-122.06812569,2003.51,94.05,70.95,good
37.41767982,-122.05678258,3005.27,97.57,67.43,good
37.41767982,-122.04543947,4007.02,100.07,64.93,good
37.42668883,-122.13618437,4130.11,100.33,64.67,good
37.42668883,-122.12484126,3167.66,98.03,66.97,good
37.42668883,-122.11349815,2239.89,95.02,69.98,good
37.42668883,-122.10215503,1416.65,91.04,73.96,good
37.42668883,-122.09081192,1001.76,88.03,76.97,good
37.42668883,-122.07946881,1416.65,91.04,73.96,good
37.42668883,-122.06812569,2239.89,95.02,69.98,good
37.42668883,-122.05678258,3167.66,98.03,66.97,good
37.42668883,-122.04543947,4130.11,100.33,64.67,good
37.43569784,-122.13618437,4479.56,101.04,63.96,good
37.43569784,-122.12484126,3611.58,99.17,65.83,good
37.43569784,-122.11349815,2833.22,97.06,67.94,good
37.43569784,-122.10215503,2239.94,95.02,69.98,good
37.43569784,-122.09081192,2003.51,94.05,70.95,good
37.43569784,-122.07946881,2239.94,95.02,69.98,good
37.43569784,-122.06812569,2833.22,97.06,67.94,good
37.43569784,-122.05678258,3611.58,99.17,65.83,good
37.43569784,-122.04543947,4479.56,101.04,63.96,good
37.44470685,-122.12484126,4249.71,100.58,64.42,good
37.44470685,-122.11349815,3611.68,99.17,65.83,good
37.44470685,-122.10215503,3167.77,98.03,66.97,good
37.44470685,-122.09081192,3005.27,97.57,67.43,good
37.44470685,-122.07946881,3167.77,98.03,66.97,good
37.44470685,-122.06812569,3611.68,99.17,65.83,good
37.44470685,-122.05678258,4249.71,100.58,64.42,good
37.45371586,-122.11349815,4479.77,101.04,63.96,good
37.45371586,-122.10215503,4130.29,100.33,64.67,good
37.45371586,-122.09081192,4007.02,100.07,64.93,good
37.45371586,-122.07946881,4130.29,100.33,64.67,good
37.45371586,-122.06812569,4479.77,101.04,63.96,good
