timestamp,lat_deg,lon_deg,height_m,quality,quality_name,num_sats,sdn_m,sde_m,sdu_m,age_s,ratio
32400.000,37.415460527,-122.085602394,632.7202,2,FLOAT,14,0.0630,0.0630,0.2266,0.1,0.0
32401.000,37.415453518,-122.085596452,633.0162,1,FIX,14,0.0054,0.0054,0.0117,4.3,16.1
32402.000,37.415456676,-122.085598048,632.9755,2,FLOAT,7,0.0639,0.0639,0.1290,4.2,0.0
32403.000,37.415439748,-122.085592966,632.7072,5,SINGLE,14,0.9398,0.9398,2.8859,4.4,0.0
32404.000,37.415457182,-122.085610106,632.7362,1,FIX,7,0.0088,0.0088,0.0180,2.3,20.9
32405.000,37.415464457,-122.085606444,632.6447,2,FLOAT,7,0.1414,0.1414,0.1513,3.6,0.0
32406.000,37.415474144,-122.085609359,632.7608,1,FIX,11,0.0087,0.0087,0.0166,0.2,13.8
32407.000,37.415460453,-122.085581868,632.8085,1,FIX,11,0.0037,0.0037,0.0125,3.2,44.6
32408.000,37.415466438,-122.085616986,632.8514,1,FIX,12,0.0092,0.0092,0.0110,5.0,13.3
32409.000,37.415455325,-122.085590133,632.9730,1,FIX,12,0.0068,0.0068,0.0108,2.3,31.0
32410.000,37.415445550,-122.085603324,632.8138,1,FIX,14,0.0080,0.0080,0.0165,1.5,19.0
32411.000,37.415454105,-122.085605907,632.6346,1,FIX,8,0.0061,0.0061,0.0066,4.2,32.4
32412.000,37.415462832,-122.085587907,633.0945,1,FIX,14,0.0093,0.0093,0.0140,0.6,26.0
32413.000,37.415452129,-122.085600334,632.9732,1,FIX,7,0.0027,0.0027,0.0123,3.8,6.3
32414.000,37.415454325,-122.085604172,632.9582,2,FLOAT,12,0.1947,0.1947,0.3787,3.8,0.0
32415.000,37.415450449,-122.085628036,631.8323,5,SINGLE,13,0.6815,0.6815,1.6741,1.7,0.0
32416.000,37.415460626,-122.085588257,632.9428,1,FIX,9,0.0025,0.0025,0.0055,2.6,18.5
32417.000,37.415454634,-122.085604578,632.6646,1,FIX,13,0.0039,0.0039,0.0121,0.5,22.1
32418.000,37.415462508,-122.085588977,632.7603,2,FLOAT,7,0.0591,0.0591,0.3185,4.0,0.0
32419.000,37.415465235,-122.085596909,632.9346,1,FIX,13,0.0040,0.0040,0.0188,4.3,23.8
32420.000,37.415465873,-122.085587082,632.6912,1,FIX,9,0.0033,0.0033,0.0123,2.0,13.0
32421.000,37.415473433,-122.085602887,633.0343,1,FIX,13,0.0043,0.0043,0.0154,3.9,37.3
32422.000,37.415460391,-122.085585523,632.9655,2,FLOAT,6,0.1622,0.1622,0.1171,2.9,0.0
32423.000,37.415448978,-122.085597008,632.8746,1,FIX,8,0.0025,0.0025,0.0060,2.0,43.5
32424.000,37.415452013,-122.085588520,632.9281,2,FLOAT,14,0.0975,0.0975,0.1782,3.3,0.0
32425.000,37.415458885,-122.085607760,632.7930,1,FIX,7,0.0021,0.0021,0.0143,0.5,29.5
32426.000,37.415453368,-122.085603260,632.9064,1,FIX,9,0.0050,0.0050,0.0074,3.5,42.2
32427.000,37.415451876,-122.085598265,632.7330,5,SINGLE,7,1.9084,1.9084,1.4029,0.6,0.0
32428.000,37.415450926,-122.085613658,632.7762,1,FIX,9,0.0075,0.0075,0.0178,1.3,26.8
32429.000,37.415438319,-122.085593591,632.7807,2,FLOAT,8,0.1456,0.1456,0.1786,3.7,0.0
32430.000,37.415454218,-122.085582572,632.9741,1,FIX,8,0.0064,0.0064,0.0175,0.7,30.4
32431.000,37.415473536,-122.085595409,632.6831,1,FIX,11,0.0037,0.0037,0.0087,3.9,7.8
32432.000,37.415449214,-122.085583339,632.7537,2,FLOAT,8,0.1822,0.1822,0.1074,3.7,0.0
32433.000,37.415446200,-122.085588857,632.7598,1,FIX,10,0.0033,0.0033,0.0155,0.2,21.0
32434.000,37.415448281,-122.085599481,632.1796,5,SINGLE,9,0.8344,0.8344,2.9801,2.0,0.0
32435.000,37.415456673,-122.085600326,632.7212,5,SINGLE,14,1.0995,1.0995,3.9434,2.7,0.0
32436.000,37.415456369,-122.085590248,633.3289,5,SINGLE,10,0.5574,0.5574,2.7897,1.7,0.0
32437.000,37.415445619,-122.085593643,633.1191,5,SINGLE,9,0.8821,0.8821,3.1264,0.0,0.0
32438.000,37.415459114,-122.085593048,633.8295,5,SINGLE,9,1.0463,1.0463,1.2099,3.3,0.0
32439.000,37.415457029,-122.085595984,632.3317,5,SINGLE,10,1.2607,1.2607,3.0007,1.6,0.0
32440.000,37.415437456,-122.085599863,632.6051,5,SINGLE,12,1.5160,1.5160,3.7084,3.1,0.0
32441.000,37.415453531,-122.085603446,632.9839,1,FIX,11,0.0057,0.0057,0.0116,2.4,13.0
32442.000,37.415459339,-122.085613063,633.0708,5,SINGLE,11,0.6401,0.6401,3.8560,1.2,0.0
32443.000,37.415448345,-122.085573446,632.9653,1,FIX,7,0.0056,0.0056,0.0183,3.6,30.1
32444.000,37.415456905,-122.085609122,632.6812,1,FIX,7,0.0082,0.0082,0.0083,3.5,40.8
32445.000,37.415445527,-122.085597347,632.8971,1,FIX,13,0.0073,0.0073,0.0198,4.8,31.0
32446.000,37.415441756,-122.085595124,632.7481,2,FLOAT,8,0.1615,0.1615,0.2424,1.3,0.0
32447.000,37.415440540,-122.085615031,632.8512,1,FIX,10,0.0055,0.0055,0.0157,1.7,14.0
32448.000,37.415462173,-122.085596454,632.9952,2,FLOAT,12,0.1111,0.1111,0.2628,2.1,0.0
32449.000,37.415463860,-122.085614516,632.7843,1,FIX,12,0.0058,0.0058,0.0191,1.9,17.0
32450.000,37.415433923,-122.085610245,631.0957,5,SINGLE,13,0.8291,0.8291,2.3075,0.1,0.0
32451.000,37.415444388,-122.085595339,632.9733,1,FIX,8,0.0098,0.0098,0.0130,3.0,45.6
32452.000,37.415460517,-122.085599587,632.7707,2,FLOAT,11,0.0817,0.0817,0.1981,3.8,0.0
32453.000,37.415434737,-122.085601063,632.9226,1,FIX,6,0.0080,0.0080,0.0058,1.1,47.7
32454.000,37.415452886,-122.085593584,632.8984,1,FIX,6,0.0070,0.0070,0.0086,0.6,25.3
32455.000,37.415463168,-122.085621307,632.7183,2,FLOAT,7,0.1667,0.1667,0.1491,1.6,0.0
32456.000,37.415448078,-122.085592763,632.8399,1,FIX,9,0.0026,0.0026,0.0154,0.5,32.5
32457.000,37.415446520,-122.085587727,632.4531,5,SINGLE,11,1.2991,1.2991,2.9846,0.3,0.0
32458.000,37.415458190,-122.085610692,632.8178,2,FLOAT,13,0.1561,0.1561,0.2306,3.7,0.0
32459.000,37.415442455,-122.085611200,632.9366,2,FLOAT,10,0.0983,0.0983,0.1736,4.7,0.0
32460.000,37.415458529,-122.085614611,632.8020,1,FIX,11,0.0022,0.0022,0.0178,1.1,11.5
32461.000,37.415444137,-122.085600106,633.0086,2,FLOAT,9,0.0628,0.0628,0.3160,2.4,0.0
32462.000,37.415443691,-122.085600535,632.7677,2,FLOAT,9,0.1107,0.1107,0.1730,3.3,0.0
32463.000,37.415450506,-122.085588452,632.8697,1,FIX,11,0.0076,0.0076,0.0091,0.6,14.8
32464.000,37.415462166,-122.085600426,632.8263,1,FIX,9,0.0079,0.0079,0.0091,3.8,30.7
32465.000,37.415451497,-122.085603530,632.9905,1,FIX,10,0.0021,0.0021,0.0130,4.9,15.9
32466.000,37.415448687,-122.085593151,632.7939,1,FIX,6,0.0066,0.0066,0.0120,0.9,23.7
32467.000,37.415449600,-122.085596470,632.8007,1,FIX,7,0.0066,0.0066,0.0153,4.1,10.1
32468.000,37.415466412,-122.085612633,632.9502,2,FLOAT,9,0.1664,0.1664,0.2141,4.5,0.0
32469.000,37.415447941,-122.085604298,632.8573,1,FIX,7,0.0096,0.0096,0.0081,3.3,12.9
32470.000,37.415457143,-122.085590047,632.8847,1,FIX,13,0.0043,0.0043,0.0085,3.5,36.2
32471.000,37.415432568,-122.085597796,632.7362,1,FIX,9,0.0054,0.0054,0.0132,4.5,33.4
32472.000,37.415461457,-122.085600659,632.7945,2,FLOAT,10,0.1159,0.1159,0.2406,1.5,0.0
32473.000,37.415465942,-122.085613506,632.9308,1,FIX,12,0.0079,0.0079,0.0141,1.1,4.2
32474.000,37.415450805,-122.085601036,632.5214,5,SINGLE,6,1.6447,1.6447,1.5256,2.6,0.0
32475.000,37.415487060,-122.085617946,632.9470,1,FIX,7,0.0058,0.0058,0.0111,0.5,18.1
32476.000,37.415459685,-122.085606386,632.7848,1,FIX,14,0.0023,0.0023,0.0063,0.6,14.9
32477.000,37.415453409,-122.085593199,632.8213,5,SINGLE,6,0.7814,0.7814,2.0853,3.8,0.0
32478.000,37.415469340,-122.085587727,633.1971,5,SINGLE,13,0.6821,0.6821,3.9194,3.0,0.0
32479.000,37.415464300,-122.085605125,632.8737,1,FIX,7,0.0057,0.0057,0.0068,2.5,42.1
32480.000,37.415472110,-122.085593867,632.8440,2,FLOAT,14,0.0717,0.0717,0.1572,3.0,0.0
32481.000,37.415462487,-122.085593889,632.9646,2,FLOAT,14,0.0901,0.0901,0.1008,3.6,0.0
32482.000,37.415435644,-122.085612946,632.8116,2,FLOAT,11,0.1328,0.1328,0.2630,2.3,0.0
32483.000,37.415468006,-122.085607512,632.8550,1,FIX,12,0.0023,0.0023,0.0162,4.1,36.1
32484.000,37.415437642,-122.085589492,632.8574,1,FIX,6,0.0030,0.0030,0.0195,0.5,18.6
32485.000,37.415452829,-122.085588370,633.0551,2,FLOAT,8,0.0612,0.0612,0.3345,1.3,0.0
32486.000,37.415458716,-122.085605877,632.8493,2,FLOAT,11,0.1440,0.1440,0.3662,2.4,0.0
32487.000,37.415448643,-122.085604358,632.8002,1,FIX,9,0.0080,0.0080,0.0115,3.2,7.6
32488.000,37.415432577,-122.085584657,632.8573,2,FLOAT,10,0.1038,0.1038,0.2292,1.2,0.0
32489.000,37.415447861,-122.085594812,633.0006,1,FIX,12,0.0070,0.0070,0.0086,0.7,45.9
32490.000,37.415461293,-122.085582968,632.8915,1,FIX,10,0.0074,0.0074,0.0074,1.7,23.8
32491.000,37.415445499,-122.085601086,633.0675,1,FIX,9,0.0100,0.0100,0.0178,1.9,8.0
32492.000,37.415468437,-122.085582403,632.9025,1,FIX,12,0.0042,0.0042,0.0135,3.7,35.2
32493.000,37.415446263,-122.085594331,632.8253,1,FIX,9,0.0069,0.0069,0.0103,3.1,32.9
32494.000,37.415427241,-122.085626291,631.6939,5,SINGLE,6,0.9634,0.9634,2.3225,2.9,0.0
32495.000,37.415469084,-122.085599072,632.8822,2,FLOAT,14,0.1815,0.1815,0.2098,2.5,0.0
32496.000,37.415472768,-122.085576321,632.8025,1,FIX,10,0.0080,0.0080,0.0101,4.8,8.4
32497.000,37.415449669,-122.085605322,632.6245,1,FIX,14,0.0049,0.0049,0.0169,2.7,3.7
32498.000,37.415440333,-122.085617105,632.7799,1,FIX,11,0.0029,0.0029,0.0085,4.4,4.2
32499.000,37.415450088,-122.085583761,632.9592,1,FIX,10,0.0072,0.0072,0.0068,0.2,5.1
32500.000,37.415466100,-122.085608255,632.9549,2,FLOAT,14,0.1129,0.1129,0.3227,0.8,0.0
32501.000,37.415460470,-122.085621528,633.0247,1,FIX,6,0.0075,0.0075,0.0083,1.2,23.9
32502.000,37.415452570,-122.085589181,632.8072,1,FIX,6,0.0052,0.0052,0.0078,4.2,8.7
32503.000,37.415441315,-122.085602784,632.8617,1,FIX,11,0.0039,0.0039,0.0069,0.3,29.5
32504.000,37.415473776,-122.085603255,632.9737,2,FLOAT,6,0.0916,0.0916,0.3952,4.9,0.0
32505.000,37.415449030,-122.085597440,632.8429,1,FIX,11,0.0083,0.0083,0.0086,0.9,18.2
32506.000,37.415441408,-122.085601323,632.7667,1,FIX,11,0.0061,0.0061,0.0066,4.7,26.7
32507.000,37.415434010,-122.085611933,632.8703,1,FIX,6,0.0025,0.0025,0.0122,3.4,21.9
32508.000,37.415451552,-122.085589009,632.9509,1,FIX,7,0.0030,0.0030,0.0144,3.6,30.5
32509.000,37.415448748,-122.085611675,632.8705,1,FIX,7,0.0088,0.0088,0.0148,3.6,39.1
32510.000,37.415455709,-122.085606903,632.9674,1,FIX,12,0.0078,0.0078,0.0097,1.3,17.7
32511.000,37.415453891,-122.085592297,632.8922,2,FLOAT,11,0.1718,0.1718,0.2669,2.9,0.0
32512.000,37.415458074,-122.085609996,632.9963,1,FIX,12,0.0089,0.0089,0.0158,3.0,48.5
32513.000,37.415450305,-122.085605009,632.8156,1,FIX,7,0.0048,0.0048,0.0133,1.4,8.4
32514.000,37.415459031,-122.085599598,632.7309,1,FIX,14,0.0022,0.0022,0.0189,1.3,42.0
32515.000,37.415445373,-122.085601624,632.8879,1,FIX,8,0.0065,0.0065,0.0110,3.2,9.7
32516.000,37.415446659,-122.085609005,632.9249,1,FIX,11,0.0045,0.0045,0.0099,3.0,47.2
32517.000,37.415450434,-122.085591568,632.9350,2,FLOAT,12,0.1228,0.1228,0.2326,1.4,0.0
32518.000,37.415456359,-122.085606761,632.7032,2,FLOAT,10,0.0568,0.0568,0.2186,3.0,0.0
32519.000,37.415460129,-122.085596030,632.9372,1,FIX,11,0.0030,0.0030,0.0125,0.6,23.2
32520.000,37.415466326,-122.085605596,632.8012,1,FIX,12,0.0089,0.0089,0.0056,4.6,3.9
32521.000,37.415445214,-122.085606715,632.7647,2,FLOAT,6,0.1949,0.1949,0.1516,4.7,0.0
32522.000,37.415444780,-122.085605403,632.8958,1,FIX,12,0.0067,0.0067,0.0129,1.6,21.6
32523.000,37.415458848,-122.085605947,632.8748,1,FIX,14,0.0036,0.0036,0.0166,4.8,19.5
32524.000,37.415458862,-122.085597729,632.9935,2,FLOAT,7,0.0766,0.0766,0.3319,2.5,0.0
