epoch_index,timestamp,from_mode,to_mode,duration_in_previous_s
2,32402.000,FIX,SINGLE,2.000
3,32403.000,SINGLE,FLOAT,1.000
5,32405.000,FLOAT,FIX,2.000
6,32406.000,FIX,FLOAT,1.000
9,32409.000,FLOAT,FIX,3.000
10,32410.000,FIX,SINGLE,1.000
12,32412.000,SINGLE,FIX,2.000
13,32413.000,FIX,FLOAT,1.000
14,32414.000,FLOAT,SINGLE,1.000
15,32415.000,SINGLE,FIX,1.000
18,32418.000,FIX,FLOAT,3.000
21,32421.000,FLOAT,FIX,3.000
25,32425.000,FIX,FLOAT,4.000
26,32426.000,FLOAT,FIX,1.000
27,32427.000,FIX,FLOAT,1.000
28,32428.000,FLOAT,SINGLE,1.000
30,32430.000,SINGLE,FIX,2.000
32,32432.000,FIX,FLOAT,2.000
34,32434.000,FLOAT,SINGLE,2.000
36,32436.000,SINGLE,FIX,2.000
45,32445.000,FIX,FLOAT,9.000
48,32448.000,FLOAT,FIX,3.000
49,32449.000,FIX,FLOAT,1.000
51,32451.000,FLOAT,FIX,2.000
56,32456.000,FIX,SINGLE,5.000
58,32458.000,SINGLE,FIX,2.000
59,32459.000,FIX,FLOAT,1.000
60,32460.000,FLOAT,SINGLE,1.000
61,32461.000,SINGLE,FLOAT,1.000
62,32462.000,FLOAT,SINGLE,1.000
65,32465.000,SINGLE,FIX,3.000
67,32467.000,FIX,FLOAT,2.000
68,32468.000,FLOAT,FIX,1.000
71,32471.000,FIX,FLOAT,3.000
72,32472.000,FLOAT,SINGLE,1.000
75,32475.000,SINGLE,FIX,3.000
76,32476.000,FIX,FLOAT,1.000
78,32478.000,FLOAT,FIX,2.000
79,32479.000,FIX,SINGLE,1.000
81,32481.000,SINGLE,FLOAT,2.000
82,32482.000,FLOAT,SINGLE,1.000
83,32483.000,SINGLE,FIX,1.000
85,32485.000,FIX,FLOAT,2.000
89,32489.000,FLOAT,SINGLE,4.000
90,32490.000,SINGLE,FLOAT,1.000
91,32491.000,FLOAT,SINGLE,1.000
93,32493.000,SINGLE,FIX,2.000
96,32496.000,FIX,FLOAT,3.000
97,32497.000,FLOAT,FIX,1.000
100,32500.000,FIX,SINGLE,3.000
101,32501.000,SINGLE,FIX,1.000
102,32502.000,FIX,FLOAT,1.000
104,32504.000,FLOAT,FIX,2.000
105,32505.000,FIX,FLOAT,1.000
107,32507.000,FLOAT,FIX,2.000
111,32511.000,FIX,SINGLE,4.000
113,32513.000,SINGLE,FIX,2.000
119,32519.000,FIX,FLOAT,6.000
126,32526.000,FLOAT,FIX,7.000
128,32528.000,FIX,FLOAT,2.000
130,32530.000,FLOAT,SINGLE,2.000
135,32535.000,SINGLE,FIX,5.000
136,32536.000,FIX,FLOAT,1.000
137,32537.000,FLOAT,SINGLE,1.000
142,32542.000,SINGLE,FLOAT,5.000
144,32544.000,FLOAT,SINGLE,2.000
145,32545.000,SINGLE,FLOAT,1.000
146,32546.000,FLOAT,SINGLE,1.000
147,32547.000,SINGLE,FLOAT,1.000
149,32549.000,FLOAT,SINGLE,2.000
152,32552.000,SINGLE,FIX,3.000
153,32553.000,FIX,FLOAT,1.000
155,32555.000,FLOAT,SINGLE,2.000
164,32564.000,SINGLE,FIX,9.000
167,32567.000,FIX,SINGLE,3.000
168,32568.000,SINGLE,FIX,1.000
169,32569.000,FIX,FLOAT,1.000
170,32570.000,FLOAT,SINGLE,1.000
173,32573.000,SINGLE,FLOAT,3.000
174,32574.000,FLOAT,FIX,1.000
175,32575.000,FIX,FLOAT,1.000
176,32576.000,FLOAT,SINGLE,1.000
179,32579.000,SINGLE,FLOAT,3.000
180,32580.000,FLOAT,FIX,1.000
181,32581.000,FIX,FLOAT,1.000
182,32582.000,FLOAT,SINGLE,1.000
184,32584.000,SINGLE,FIX,2.000
185,32585.000,FIX,SINGLE,1.000
186,32586.000,SINGLE,FIX,1.000
188,32588.000,FIX,SINGLE,2.000
189,32589.000,SINGLE,FLOAT,1.000
191,32591.000,FLOAT,SINGLE,2.000
194,32594.000,SINGLE,FIX,3.000
195,32595.000,FIX,SINGLE,1.000
198,32598.000,SINGLE,FIX,3.000
199,32599.000,FIX,FLOAT,1.000
200,32600.000,FLOAT,FIX,1.000
202,32602.000,FIX,SINGLE,2.000
203,32603.000,SINGLE,FLOAT,1.000
204,32604.000,FLOAT,SINGLE,1.000
207,32607.000,SINGLE,FLOAT,3.000
208,32608.000,FLOAT,SINGLE,1.000
210,32610.000,SINGLE,FLOAT,2.000
214,32614.000,FLOAT,SINGLE,4.000
217,32617.000,SINGLE,FLOAT,3.000
218,32618.000,FLOAT,SINGLE,1.000
219,32619.000,SINGLE,FLOAT,1.000
225,32625.000,FLOAT,FIX,6.000
226,32626.000,FIX,FLOAT,1.000
227,32627.000,FLOAT,SINGLE,1.000
228,32628.000,SINGLE,FLOAT,1.000
230,32630.000,FLOAT,SINGLE,2.000
231,32631.000,SINGLE,FIX,1.000
232,32632.000,FIX,SINGLE,1.000
233,32633.000,SINGLE,FLOAT,1.000
235,32635.000,FLOAT,SINGLE,2.000
236,32636.000,SINGLE,FLOAT,1.000
237,32637.000,FLOAT,FIX,1.000
238,32638.000,FIX,SINGLE,1.000
239,32639.000,SINGLE,FLOAT,1.000
240,32640.000,FLOAT,FIX,1.000
241,32641.000,FIX,FLOAT,1.000
243,32643.000,FLOAT,FIX,2.000
245,32645.000,FIX,FLOAT,2.000
246,32646.000,FLOAT,FIX,1.000
247,32647.000,FIX,SINGLE,1.000
249,32649.000,SINGLE,FIX,2.000
250,32650.000,FIX,FLOAT,1.000
252,32652.000,FLOAT,FIX,2.000
254,32654.000,FIX,SINGLE,2.000
257,32657.000,SINGLE,FLOAT,3.000
260,32660.000,FLOAT,SINGLE,3.000
262,32662.000,SINGLE,FLOAT,2.000
264,32664.000,FLOAT,SINGLE,2.000
265,32665.000,SINGLE,FLOAT,1.000
266,32666.000,FLOAT,SINGLE,1.000
269,32669.000,SINGLE,FLOAT,3.000
273,32673.000,FLOAT,FIX,4.000
274,32674.000,FIX,FLOAT,1.000
275,32675.000,FLOAT,SINGLE,1.000
276,32676.000,SINGLE,FIX,1.000
278,32678.000,FIX,SINGLE,2.000
280,32680.000,SINGLE,FIX,2.000
281,32681.000,FIX,FLOAT,1.000
283,32683.000,FLOAT,FIX,2.000
284,32684.000,FIX,FLOAT,1.000
287,32687.000,FLOAT,FIX,3.000
288,32688.000,FIX,FLOAT,1.000
291,32691.000,FLOAT,FIX,3.000
292,32692.000,FIX,SINGLE,1.000
293,32693.000,SINGLE,FIX,1.000
296,32696.000,FIX,FLOAT,3.000
298,32698.000,FLOAT,FIX,2.000
