lat,lon,distance_m,fspl_db,snr_db,class
36.53036865,-122.28569407,99833.39,128.00,22.00,good
36.53036865,-122.26300919,99487.03,127.97,22.03,good
36.53036865,-122.24032430,99180.40,127.94,22.06,good
36.53036865,-122.21763941,98913.90,127.92,22.08,good
36.53036865,-122.19495453,98687.83,127.90,22.10,good
36.53036865,-122.17226964,98502.48,127.88,22.12,good
36.53036865,-122.14958476,98358.07,127.87,22.13,good
36.53036865,-122.12689987,98254.80,127.86,22.14,good
36.53036865,-122.10421498,98192.78,127.85,22.15,good
36.53036865,-122.08153010,98172.10,127.85,22.15,good
36.53036865,-122.05884521,98192.78,127.85,22.15,good
36.53036865,-122.03616033,98254.80,127.86,22.14,good
36.53036865,-122.01347544,98358.07,127.87,22.13,good
36.53036865,-121.99079055,98502.48,127.88,22.12,good
36.53036865,-121.96810567,98687.83,127.90,22.10,good
36.53036865,-121.94542078,98913.90,127.92,22.08,good
36.53036865,-121.92273590,99180.40,127.94,22.06,good
36.53036865,-121.90005101,99487.03,127.97,22.03,good
36.53036865,-121.87736612,99833.39,128.00,22.00,good
36.54838667,-122.37643362,99672.23,127.98,22.02,good
36.54838667,-122.35374873,99161.74,127.94,22.06,good
36.54838667,-122.33106385,98689.76,127.90,22.10,good
36.54838667,-122.30837896,98256.84,127.86,22.14,good
36.54838667,-122.28569407,97863.50,127.83,22.17,good
36.54838667,-122.26300919,97510.22,127.79,22.21,good
36.54838667,-122.24032430,97197.44,127.77,22.23,good
36.54838667,-122.21763941,96925.54,127.74,22.26,good
36.54838667,-122.19495453,96694.88,127.72,22.28,good
36.54838667,-122.17226964,96505.74,127.70,22.30,good
36.54838667,-122.14958476,96358.38,127.69,22.31,good
36.54838667,-122.12689987,96252.99,127.68,22.32,good
36.54838667,-122.10421498,96189.69,127.68,22.32,good
36.54838667,-122.08153010,96168.59,127.67,22.33,good
36.54838667,-122.05884521,96189.69,127.68,22.32,good
36.54838667,-122.03616033,96252.99,127.68,22.32,good
36.54838667,-122.01347544,96358.38,127.69,22.31,good
36.54838667,-121.99079055,96505.74,127.70,22.30,good
36.54838667,-121.96810567,96694.88,127.72,22.28,good
36.54838667,-121.94542078,96925.54,127.74,22.26,good
36.54838667,-121.92273590,97197.44,127.77,22.23,good
36.54838667,-121.90005101,97510.22,127.79,22.21,good
36.54838667,-121.87736612,97863.50,127.83,22.17,good
36.54838667,-121.85468124,98256.84,127.86,22.14,good
36.54838667,-121.83199635,98689.76,127.90,22.10,good
36.54838667,-121.80931147,99161.74,127.94,22.06,good
36.54838667,-121.78662658,99672.23,127.98,22.02,good
36.56640469,-122.44448828,99529.91,127.97,22.03,good
36.56640469,-122.42180339,98895.75,127.92,22.08,good
36.56640469,-122.39911850,98298.80,127.86,22.14,good
36.56640469,-122.37643362,97739.74,127.81,22.19,good
36.56640469,-122.35374873,97219.23,127.77,22.23,good
36.56640469,-122.33106385,96737.88,127.72,22.28,good
36.56640469,-122.30837896,96296.29,127.69,22.31,good
36.56640469,-122.28569407,95895.01,127.65,22.35,good
36.56640469,-122.26300919,95534.53,127.62,22.38,good
36.56640469,-122.24032430,95215.33,127.59,22.41,good
36.56640469,-122.21763941,94937.82,127.56,22.44,good
36.56640469,-122.19495453,94702.37,127.54,22.46,good
36.56640469,-122.17226964,94509.30,127.52,22.48,good
36.56640469,-122.14958476,94358.85,127.51,22.49,good
36.56640469,-122.12689987,94251.25,127.50,22.50,good
36.56640469,-122.10421498,94186.62,127.49,22.51,good
36.56640469,-122.08153010,94165.07,127.49,22.51,good
36.56640469,-122.05884521,94186.62,127.49,22.51,good
36.56640469,-122.03616033,94251.25,127.50,22.50,good
36.56640469,-122.01347544,94358.85,127.51,22.49,good
36.56640469,-121.99079055,94509.30,127.52,22.48,good
36.56640469,-121.96810567,94702.37,127.54,22.46,good
36.56640469,-121.94542078,94937.82,127.56,22.44,good
36.56640469,-121.92273590,95215.33,127.59,22.41,good
36.56640469,-121.90005101,95534.53,127.62,22.38,good
36.56640469,-121.87736612,95895.01,127.65,22.35,good
36.56640469,-121.85468124,96296.29,127.69,22.31,good
36.56640469,-121.83199635,96737.88,127.72,22.28,good
36.56640469,-121.80931147,97219.23,127.77,22.23,good
36.56640469,-121.78662658,97739.74,127.81,22.19,good
36.56640469,-121.76394169,98298.80,127.86,22.14,good
36.56640469,-121.74125681,98895.75,127.92,22.08,good
36.56640469,-121.71857192,99529.91,127.97,22.03,good
36.58442271,-122.51254293,99793.59,128.00,22.00,good
36.58442271,-122.48985805,99038.41,127.93,22.07,good
36.58442271,-122.46717316,98318.72,127.87,22.13,good
36.58442271,-122.44448828,97635.29,127.81,22.19,good
36.58442271,-122.42180339,96988.90,127.75,22.25,good
36.58442271,-122.39911850,96380.28,127.69,22.31,good
36.58442271,-122.37643362,95810.17,127.64,22.36,good
36.58442271,-122.35374873,95279.24,127.59,22.41,good
36.58442271,-122.33106385,94788.16,127.55,22.45,good
36.58442271,-122.30837896,94337.55,127.51,22.49,good
36.58442271,-122.28569407,93927.99,127.47,22.53,good
36.58442271,-122.26300919,93560.02,127.43,22.57,good
36.58442271,-122.24032430,93234.14,127.40,22.60,good
36.58442271,-122.21763941,92950.78,127.38,22.62,good
36.58442271,-122.19495453,92710.35,127.36,22.64,good
36.58442271,-122.17226964,92513.16,127.34,22.66,good
36.58442271,-122.14958476,92359.50,127.32,22.68,good
36.58442271,-122.12689987,92249.59,127.31,22.69,good
36.58442271,-122.10421498,92183.57,127.31,22.69,good
36.58442271,-122.08153010,92161.56,127.30,22.70,good
36.58442271,-122.05884521,92183.57,127.31,22.69,good
36.58442271,-122.03616033,92249.59,127.31,22.69,good
36.58442271,-122.01347544,92359.50,127.32,22.68,good
36.58442271,-121.99079055,92513.16,127.34,22.66,good
36.58442271,-121.96810567,92710.35,127.36,22.64,good
36.58442271,-121.94542078,92950.78,127.38,22.62,good
36.58442271,-121.92273590,93234.14,127.40,22.60,good
36.58442271,-121.90005101,93560.02,127.43,22.57,good
36.58442271,-121.87736612,93927.99,127.47,22.53,good
36.58442271,-121.85468124,94337.55,127.51,22.49,good
36.58442271,-121.83199635,94788.16,127.55,22.45,good
36.58442271,-121.80931147,95279.24,127.59,22.41,good
36.58442271,-121.78662658,95810.17,127.64,22.36,good
36.58442271,-121.76394169,96380.28,127.69,22.31,good
36.58442271,-121.74125681,96988.90,127.75,22.25,good
36.58442271,-121.71857192,97635.29,127.81,22.19,good
36.58442271,-121.69588703,98318.72,127.87,22.13,good
36.58442271,-121.67320215,99038.41,127.93,22.07,good
36.58442271,-121.65051726,99793.59,128.00,22.00,good
36.60244072,-122.55791271,99587.72,127.98,22.02,good
36.60244072,-122.53522782,98749.02,127.90,22.10,good
36.60244072,-122.51254293,97944.56,127.83,22.17,good
36.60244072,-122.48985805,97175.20,127.76,22.24,good
36.60244072,-122.46717316,96441.77,127.70,22.30,good
36.60244072,-122.44448828,95745.11,127.64,22.36,good
36.60244072,-122.42180339,95086.03,127.58,22.42,good
36.60244072,-122.39911850,94465.30,127.52,22.48,good
36.60244072,-122.37643362,93883.69,127.46,22.54,good
36.60244072,-122.35374873,93341.93,127.41,22.59,good
36.60244072,-122.33106385,92840.72,127.37,22.63,good
36.60244072,-122.30837896,92380.72,127.32,22.68,good
36.60244072,-122.28569407,91962.55,127.29,22.71,good
36.60244072,-122.26300919,91586.77,127.25,22.75,good
36.60244072,-122.24032430,91253.92,127.22,22.78,good
36.60244072,-122.21763941,90964.47,127.19,22.81,good
36.60244072,-122.19495453,90718.82,127.17,22.83,good
36.60244072,-122.17226964,90517.34,127.15,22.85,good
36.60244072,-122.14958476,90360.33,127.13,22.87,good
36.60244072,-122.12689987,90248.01,127.12,22.88,good
36.60244072,-122.10421498,90180.55,127.12,22.88,good
36.60244072,-122.08153010,90158.05,127.11,22.89,good
36.60244072,-122.05884521,90180.55,127.12,22.88,good
36.60244072,-122.03616033,90248.01,127.12,22.88,good
36.60244072,-122.01347544,90360.33,127.13,22.87,good
36.60244072,-121.99079055,90517.34,127.15,22.85,good
36.60244072,-121.96810567,90718.82,127.17,22.83,good
36.60244072,-121.94542078,90964.47,127.19,22.81,good
36.60244072,-121.92273590,91253.92,127.22,22.78,good
36.60244072,-121.90005101,91586.77,127.25,22.75,good
36.60244072,-121.87736612,91962.55,127.29,22.71,good
36.60244072,-121.85468124,92380.72,127.32,22.68,good
36.60244072,-121.83199635,92840.72,127.37,22.63,good
36.60244072,-121.80931147,93341.93,127.41,22.59,good
36.60244072,-121.78662658,93883.69,127.46,22.54,good
36.60244072,-121.76394169,94465.30,127.52,22.48,good
36.60244072,-121.74125681,95086.03,127.58,22.42,good
36.60244072,-121.71857192,95745.11,127.64,22.36,good
36.60244072,-121.69588703,96441.77,127.70,22.30,good
36.60244072,-121.67320215,97175.20,127.76,22.24,good
36.60244072,-121.65051726,97944.56,127.83,22.17,good
36.60244072,-121.62783238,98749.02,127.90,22.10,good
36.60244072,-121.60514749,99587.72,127.98,22.02,good
36.62045874,-122.60328248,99584.11,127.98,22.02,good
36.62045874,-122.58059759,98663.38,127.90,22.10,good
36.62045874,-122.55791271,97775.47,127.82,22.18,good
36.62045874,-122.53522782,96921.28,127.74,22.26,good
36.62045874,-122.51254293,96101.72,127.67,22.33,good
36.62045874,-122.48985805,95317.67,127.60,22.40,good
36.62045874,-122.46717316,94570.02,127.53,22.47,good
36.62045874,-122.44448828,93859.64,127.46,22.54,good
36.62045874,-122.42180339,93187.37,127.40,22.60,good
36.62045874,-122.39911850,92554.06,127.34,22.66,good
36.62045874,-122.37643362,91960.51,127.29,22.71,good
36.62045874,-122.35374873,91407.48,127.23,22.77,good
36.62045874,-122.33106385,90895.73,127.18,22.82,good
36.62045874,-122.30837896,90425.94,127.14,22.86,good
36.62045874,-122.28569407,89998.79,127.10,22.90,good
36.62045874,-122.26300919,89614.87,127.06,22.94,good
36.62045874,-122.24032430,89274.75,127.03,22.97,good
36.62045874,-122.21763941,88978.92,127.00,23.00,good
36.62045874,-122.19495453,88727.84,126.97,23.03,good
36.62045874,-122.17226964,88521.88,126.95,23.05,good
36.62045874,-122.14958476,88361.35,126.94,23.06,good
36.62045874,-122.12689987,88246.52,126.93,23.07,good
36.62045874,-122.10421498,88177.54,126.92,23.08,good
36.62045874,-122.08153010,88154.54,126.92,23.08,good
36.62045874,-122.05884521,88177.54,126.92,23.08,good
36.62045874,-122.03616033,88246.52,126.93,23.07,good
36.62045874,-122.01347544,88361.35,126.94,23.06,good
36.62045874,-121.99079055,88521.88,126.95,23.05,good
36.62045874,-121.96810567,88727.84,126.97,23.03,good
36.62045874,-121.94542078,88978.92,127.00,23.00,good
36.62045874,-121.92273590,89274.75,127.03,22.97,good
36.62045874,-121.90005101,89614.87,127.06,22.94,good
36.62045874,-121.87736612,89998.79,127.10,22.90,good
36.62045874,-121.85468124,90425.94,127.14,22.86,good
36.62045874,-121.83199635,90895.73,127.18,22.82,good
36.62045874,-121.80931147,91407.48,127.23,22.77,good
36.62045874,-121.78662658,91960.51,127.29,22.71,good
36.62045874,-121.76394169,92554.06,127.34,22.66,good
36.62045874,-121.74125681,93187.37,127.40,22.60,good
36.62045874,-121.71857192,93859.64,127.46,22.54,good
36.62045874,-121.69588703,94570.02,127.53,22.47,good
36.62045874,-121.67320215,95317.67,127.60,22.40,good
36.62045874,-121.65051726,96101.72,127.67,22.33,good
36.62045874,-121.62783238,96921.28,127.74,22.26,good
36.62045874,-121.60514749,97775.47,127.82,22.18,good
36.62045874,-121.58246260,98663.38,127.90,22.10,good
36.62045874,-121.55977772,99584.11,127.98,22.02,good
36.63847676,-122.64865225,99782.65,127.99,22.01,good
36.63847676,-122.62596736,98781.91,127.91,22.09,good
36.63847676,-122.60328248,97812.40,127.82,22.18,good
36.63847676,-122.58059759,96875.06,127.74,22.26,good
36.63847676,-122.55791271,95970.82,127.66,22.34,good
36.63847676,-122.53522782,95100.63,127.58,22.42,good
36.63847676,-122.51254293,94265.44,127.50,22.50,good
36.63847676,-122.48985805,93466.18,127.43,22.57,good
36.63847676,-122.46717316,92703.77,127.35,22.65,good
36.63847676,-122.44448828,91979.15,127.29,22.71,good
36.63847676,-122.42180339,91293.20,127.22,22.78,good
36.63847676,-122.39911850,90646.81,127.16,22.84,good
36.63847676,-122.37643362,90040.83,127.10,22.90,good
36.63847676,-122.35374873,89476.07,127.05,22.95,good
36.63847676,-122.33106385,88953.33,127.00,23.00,good
36.63847676,-122.30837896,88473.34,126.95,23.05,good
36.63847676,-122.28569407,88036.82,126.91,23.09,good
36.63847676,-122.26300919,87644.40,126.87,23.13,good
36.63847676,-122.24032430,87296.68,126.83,23.17,good
36.63847676,-122.21763941,86994.20,126.80,23.20,good
36.63847676,-122.19495453,86737.43,126.78,23.22,good
36.63847676,-122.17226964,86526.78,126.76,23.24,good
36.63847676,-122.14958476,86362.59,126.74,23.26,good
36.63847676,-122.12689987,86245.12,126.73,23.27,good
36.63847676,-122.10421498,86174.56,126.72,23.28,good
36.63847676,-122.08153010,86151.02,126.72,23.28,good
36.63847676,-122.05884521,86174.56,126.72,23.28,good
36.63847676,-122.03616033,86245.12,126.73,23.27,good
36.63847676,-122.01347544,86362.59,126.74,23.26,good
36.63847676,-121.99079055,86526.78,126.76,23.24,good
36.63847676,-121.96810567,86737.43,126.78,23.22,good
36.63847676,-121.94542078,86994.20,126.80,23.20,good
36.63847676,-121.92273590,87296.68,126.83,23.17,good
36.63847676,-121.90005101,87644.40,126.87,23.13,good
36.63847676,-121.87736612,88036.82,126.91,23.09,good
36.63847676,-121.85468124,88473.34,126.95,23.05,good
36.63847676,-121.83199635,88953.33,127.00,23.00,good
36.63847676,-121.80931147,89476.07,127.05,22.95,good
36.63847676,-121.78662658,90040.83,127.10,22.90,good
36.63847676,-121.76394169,90646.81,127.16,22.84,good
36.63847676,-121.74125681,91293.20,127.22,22.78,good
36.63847676,-121.71857192,91979.15,127.29,22.71,good
36.63847676,-121.69588703,92703.77,127.35,22.65,good
36.63847676,-121.67320215,93466.18,127.43,22.57,good
36.63847676,-121.65051726,94265.44,127.50,22.50,good
36.63847676,-121.62783238,95100.63,127.58,22.42,good
36.63847676,-121.60514749,95970.82,127.66,22.34,good
36.63847676,-121.58246260,96875.06,127.74,22.26,good
36.63847676,-121.55977772,97812.40,127.82,22.18,good
36.63847676,-121.53709283,98781.91,127.91,22.09,good
36.63847676,-121.51440795,99782.65,127.99,22.01,good
36.65649478,-122.67133714,99103.77,127.93,22.07,good
36.65649478,-122.64865225,98055.01,127.84,22.16,good
36.65649478,-122.62596736,97036.70,127.75,22.25,good
36.65649478,-122.60328248,96049.81,127.66,22.34,good
36.65649478,-122.58059759,95095.32,127.58,22.42,good
36.65649478,-122.55791271,94174.21,127.49,22.51,good
36.65649478,-122.53522782,93287.48,127.41,22.59,good
36.65649478,-122.51254293,92436.10,127.33,22.67,good
36.65649478,-122.48985805,91621.08,127.25,22.75,good
36.65649478,-122.46717316,90843.37,127.18,22.82,good
36.65649478,-122.44448828,90103.96,127.11,22.89,good
36.65649478,-122.42180339,89403.80,127.04,22.96,good
36.65649478,-122.39911850,88743.80,126.98,23.02,good
36.65649478,-122.37643362,88124.88,126.91,23.09,good
36.65649478,-122.35374873,87547.90,126.86,23.14,good
36.65649478,-122.33106385,87013.70,126.80,23.20,good
36.65649478,-122.30837896,86523.07,126.76,23.24,good
36.65649478,-122.28569407,86076.76,126.71,23.29,good
36.65649478,-122.26300919,85675.46,126.67,23.33,good
36.65649478,-122.24032430,85319.80,126.63,23.37,good
36.65649478,-122.21763941,85010.36,126.60,23.40,good
36.65649478,-122.19495453,84747.64,126.58,23.42,good
36.65649478,-122.17226964,84532.09,126.55,23.45,good
36.65649478,-122.14958476,84364.05,126.54,23.46,good
36.65649478,-122.12689987,84243.82,126.52,23.48,good
36.65649478,-122.10421498,84171.60,126.52,23.48,good
36.65649478,-122.08153010,84147.51,126.51,23.49,good
36.65649478,-122.05884521,84171.60,126.52,23.48,good
36.65649478,-122.03616033,84243.82,126.52,23.48,good
36.65649478,-122.01347544,84364.05,126.54,23.46,good
36.65649478,-121.99079055,84532.09,126.55,23.45,good
36.65649478,-121.96810567,84747.64,126.58,23.42,good
36.65649478,-121.94542078,85010.36,126.60,23.40,good
36.65649478,-121.92273590,85319.80,126.63,23.37,good
36.65649478,-121.90005101,85675.46,126.67,23.33,good
36.65649478,-121.87736612,86076.76,126.71,23.29,good
36.65649478,-121.85468124,86523.07,126.76,23.24,good
36.65649478,-121.83199635,87013.70,126.80,23.20,good
36.65649478,-121.80931147,87547.90,126.86,23.14,good
36.65649478,-121.78662658,88124.88,126.91,23.09,good
36.65649478,-121.76394169,88743.80,126.98,23.02,good
36.65649478,-121.74125681,89403.80,127.04,22.96,good
36.65649478,-121.71857192,90103.96,127.11,22.89,good
36.65649478,-121.69588703,90843.37,127.18,22.82,good
36.65649478,-121.67320215,91621.08,127.25,22.75,good
36.65649478,-121.65051726,92436.10,127.33,22.67,good
36.65649478,-121.62783238,93287.48,127.41,22.59,good
36.65649478,-121.60514749,94174.21,127.49,22.51,good
36.65649478,-121.58246260,95095.32,127.58,22.42,good
36.65649478,-121.55977772,96049.81,127.66,22.34,good
36.65649478,-121.53709283,97036.70,127.75,22.25,good
36.65649478,-121.51440795,98055.01,127.84,22.16,good
36.65649478,-121.49172306,99103.77,127.93,22.07,good
36.67451280,-122.71670691,99626.86,127.98,22.02,good
36.67451280,-122.69402202,98501.65,127.88,22.12,good
36.67451280,-122.67133714,97405.06,127.78,22.22,good
36.67451280,-122.64865225,96338.06,127.69,22.31,good
36.67451280,-122.62596736,95301.65,127.60,22.40,good
36.67451280,-122.60328248,94296.84,127.50,22.50,good
36.67451280,-122.58059759,93324.65,127.41,22.59,good
36.67451280,-122.55791271,92386.12,127.33,22.67,good
36.67451280,-122.53522782,91482.26,127.24,22.76,good
36.67451280,-122.51254293,90614.14,127.16,22.84,good
36.67451280,-122.48985805,89782.77,127.08,22.92,good
36.67451280,-122.46717316,88989.19,127.00,23.00,good
36.67451280,-122.44448828,88234.42,126.93,23.07,good
36.67451280,-122.42180339,87519.47,126.86,23.14,good
36.67451280,-122.39911850,86845.31,126.79,23.21,good
36.67451280,-122.37643362,86212.91,126.72,23.28,good
36.67451280,-122.35374873,85623.19,126.66,23.34,good
36.67451280,-122.33106385,85077.03,126.61,23.39,good
36.67451280,-122.30837896,84575.29,126.56,23.44,good
36.67451280,-122.28569407,84118.75,126.51,23.49,good
36.67451280,-122.26300919,83708.16,126.47,23.53,good
36.67451280,-122.24032430,83344.19,126.43,23.57,good
36.67451280,-122.21763941,83027.47,126.40,23.60,good
36.67451280,-122.19495453,82758.52,126.37,23.63,good
36.67451280,-122.17226964,82537.82,126.35,23.65,good
36.67451280,-122.14958476,82365.75,126.33,23.67,good
36.67451280,-122.12689987,82242.63,126.31,23.69,good
36.67451280,-122.10421498,82168.67,126.31,23.69,good
36.67451280,-122.08153010,82144.00,126.30,23.70,good
36.67451280,-122.05884521,82168.67,126.31,23.69,good
36.67451280,-122.03616033,82242.63,126.31,23.69,good
36.67451280,-122.01347544,82365.75,126.33,23.67,good
36.67451280,-121.99079055,82537.82,126.35,23.65,good
36.67451280,-121.96810567,82758.52,126.37,23.63,good
36.67451280,-121.94542078,83027.47,126.40,23.60,good
36.67451280,-121.92273590,83344.19,126.43,23.57,good
36.67451280,-121.90005101,83708.16,126.47,23.53,good
36.67451280,-121.87736612,84118.75,126.51,23.49,good
36.67451280,-121.85468124,84575.29,126.56,23.44,good
36.67451280,-121.83199635,85077.03,126.61,23.39,good
36.67451280,-121.80931147,85623.19,126.66,23.34,good
36.67451280,-121.78662658,86212.91,126.72,23.28,good
36.67451280,-121.76394169,86845.31,126.79,23.21,good
36.67451280,-121.74125681,87519.47,126.86,23.14,good
36.67451280,-121.71857192,88234.42,126.93,23.07,good
36.67451280,-121.69588703,88989.19,127.00,23.00,good
36.67451280,-121.67320215,89782.77,127.08,22.92,good
36.67451280,-121.65051726,90614.14,127.16,22.84,good
36.67451280,-121.62783238,91482.26,127.24,22.76,good
36.67451280,-121.60514749,92386.12,127.33,22.67,good
36.67451280,-121.58246260,93324.65,127.41,22.59,good
36.67451280,-121.55977772,94296.84,127.50,22.50,good
36.67451280,-121.53709283,95301.65,127.60,22.40,good
36.67451280,-121.51440795,96338.06,127.69,22.31,good
36.67451280,-121.49172306,97405.06,127.78,22.22,good
36.67451280,-121.46903817,98501.65,127.88,22.12,good
36.67451280,-121.44635329,99626.86,127.98,22.02,good
36.69253081,-122.73939179,99149.45,127.94,22.06,good
36.69253081,-122.71670691,97977.67,127.84,22.16,good
36.69253081,-122.69402202,96833.57,127.73,22.27,good
36.69253081,-122.67133714,95718.13,127.63,22.37,good
36.69253081,-122.64865225,94632.37,127.53,22.47,good
36.69253081,-122.62596736,93577.32,127.44,22.56,good
36.69253081,-122.60328248,92554.04,127.34,22.66,good
36.69253081,-122.58059759,91563.58,127.25,22.75,good
36.69253081,-122.55791271,90607.03,127.16,22.84,good
36.69253081,-122.53522782,89685.47,127.07,22.93,good
36.69253081,-122.51254293,88799.99,126.98,23.02,good
36.69253081,-122.48985805,87951.67,126.90,23.10,good
36.69253081,-122.46717316,87141.61,126.82,23.18,good
36.69253081,-122.44448828,86370.88,126.74,23.26,good
36.69253081,-122.42180339,85640.55,126.67,23.33,good
36.69253081,-122.39911850,84951.64,126.60,23.40,good
36.69253081,-122.37643362,84305.19,126.53,23.47,good
36.69253081,-122.35374873,83702.17,126.47,23.53,good
36.69253081,-122.33106385,83143.53,126.41,23.59,good
36.69253081,-122.30837896,82630.17,126.36,23.64,good
36.69253081,-122.28569407,82162.94,126.31,23.69,good
36.69253081,-122.26300919,81742.62,126.26,23.74,good
36.69253081,-122.24032430,81369.95,126.22,23.78,good
36.69253081,-122.21763941,81045.58,126.19,23.81,good
36.69253081,-122.19495453,80770.10,126.16,23.84,good
36.69253081,-122.17226964,80544.01,126.13,23.87,good
36.69253081,-122.14958476,80367.72,126.11,23.89,good
36.69253081,-122.12689987,80241.56,126.10,23.90,good
36.69253081,-122.10421498,80165.77,126.09,23.91,good
36.69253081,-122.08153010,80140.49,126.09,23.91,good
36.69253081,-122.05884521,80165.77,126.09,23.91,good
36.69253081,-122.03616033,80241.56,126.10,23.90,good
36.69253081,-122.01347544,80367.72,126.11,23.89,good
36.69253081,-121.99079055,80544.01,126.13,23.87,good
36.69253081,-121.96810567,80770.10,126.16,23.84,good
36.69253081,-121.94542078,81045.58,126.19,23.81,good
36.69253081,-121.92273590,81369.95,126.22,23.78,good
36.69253081,-121.90005101,81742.62,126.26,23.74,good
36.69253081,-121.87736612,82162.94,126.31,23.69,good
36.69253081,-121.85468124,82630.17,126.36,23.64,good
36.69253081,-121.83199635,83143.53,126.41,23.59,good
36.69253081,-121.80931147,83702.17,126.47,23.53,good
36.69253081,-121.78662658,84305.19,126.53,23.47,good
36.69253081,-121.76394169,84951.64,126.60,23.40,good
36.69253081,-121.74125681,85640.55,126.67,23.33,good
36.69253081,-121.71857192,86370.88,126.74,23.26,good
36.69253081,-121.69588703,87141.61,126.82,23.18,good
36.69253081,-121.67320215,87951.67,126.90,23.10,good
36.69253081,-121.65051726,88799.99,126.98,23.02,good
36.69253081,-121.62783238,89685.47,127.07,22.93,good
36.69253081,-121.60514749,90607.03,127.16,22.84,good
36.69253081,-121.58246260,91563.58,127.25,22.75,good
36.69253081,-121.55977772,92554.04,127.34,22.66,good
36.69253081,-121.53709283,93577.32,127.44,22.56,good
36.69253081,-121.51440795,94632.37,127.53,22.47,good
36.69253081,-121.49172306,95718.13,127.63,22.37,good
36.69253081,-121.46903817,96833.57,127.73,22.27,good
36.69253081,-121.44635329,97977.67,127.84,22.16,good
36.69253081,-121.42366840,99149.45,127.94,22.06,good
36.71054883,-122.78476157,99994.39,128.01,21.99,good
