epoch_index,timestamp,from_mode,to_mode,duration_in_previous_s
2,32402.000,FIX,SINGLE,2.000
3,32403.000,SINGLE,FLOAT,1.000
9,32409.000,FLOAT,FIX,6.000
10,32410.000,FIX,SINGLE,1.000
12,32412.000,SINGLE,FIX,2.000
13,32413.000,FIX,SINGLE,1.000
15,32415.000,SINGLE,FIX,2.000
18,32418.000,FIX,FLOAT,3.000
22,32422.000,FLOAT,FIX,4.000
24,32424.000,FIX,FLOAT,2.000
26,32426.000,FLOAT,FIX,2.000
27,32427.000,FIX,FLOAT,1.000
28,32428.000,FLOAT,SINGLE,1.000
30,32430.000,SINGLE,FIX,2.000
31,32431.000,FIX,FLOAT,1.000
34,32434.000,FLOAT,SINGLE,3.000
36,32436.000,SINGLE,FIX,2.000
45,32445.000,FIX,FLOAT,9.000
51,32451.000,FLOAT,FIX,6.000
56,32456.000,FIX,SINGLE,5.000
58,32458.000,SINGLE,FLOAT,2.000
60,32460.000,FLOAT,SINGLE,2.000
65,32465.000,SINGLE,FIX,5.000
66,32466.000,FIX,FLOAT,1.000
68,32468.000,FLOAT,FIX,2.000
71,32471.000,FIX,FLOAT,3.000
72,32472.000,FLOAT,SINGLE,1.000
75,32475.000,SINGLE,FIX,3.000
76,32476.000,FIX,FLOAT,1.000
78,32478.000,FLOAT,FIX,2.000
79,32479.000,FIX,SINGLE,1.000
83,32483.000,SINGLE,FIX,4.000
85,32485.000,FIX,FLOAT,2.000
89,32489.000,FLOAT,SINGLE,4.000
93,32493.000,SINGLE,FIX,4.000
96,32496.000,FIX,FLOAT,3.000
97,32497.000,FLOAT,FIX,1.000
100,32500.000,FIX,SINGLE,3.000
101,32501.000,SINGLE,FIX,1.000
102,32502.000,FIX,FLOAT,1.000
104,32504.000,FLOAT,FIX,2.000
105,32505.000,FIX,FLOAT,1.000
111,32511.000,FLOAT,SINGLE,6.000
113,32513.000,SINGLE,FLOAT,2.000
116,32516.000,FLOAT,FIX,3.000
119,32519.000,FIX,FLOAT,3.000
120,32520.000,FLOAT,SINGLE,1.000
121,32521.000,SINGLE,FLOAT,1.000
128,32528.000,FLOAT,SINGLE,7.000
129,32529.000,SINGLE,FLOAT,1.000
130,32530.000,FLOAT,SINGLE,1.000
135,32535.000,SINGLE,FIX,5.000
136,32536.000,FIX,SINGLE,1.000
142,32542.000,SINGLE,FLOAT,6.000
144,32544.000,FLOAT,SINGLE,2.000
147,32547.000,SINGLE,FLOAT,3.000
149,32549.000,FLOAT,SINGLE,2.000
152,32552.000,SINGLE,FLOAT,3.000
155,32555.000,FLOAT,SINGLE,3.000
164,32564.000,SINGLE,FLOAT,9.000
165,32565.000,FLOAT,FIX,1.000
167,32567.000,FIX,SINGLE,2.000
168,32568.000,SINGLE,FLOAT,1.000
170,32570.000,FLOAT,SINGLE,2.000
173,32573.000,SINGLE,FLOAT,3.000
176,32576.000,FLOAT,SINGLE,3.000
179,32579.000,SINGLE,FLOAT,3.000
182,32582.000,FLOAT,SINGLE,3.000
184,32584.000,SINGLE,FLOAT,2.000
185,32585.000,FLOAT,SINGLE,1.000
186,32586.000,SINGLE,FLOAT,1.000
188,32588.000,FLOAT,SINGLE,2.000
189,32589.000,SINGLE,FLOAT,1.000
191,32591.000,FLOAT,SINGLE,2.000
194,32594.000,SINGLE,FLOAT,3.000
195,32595.000,FLOAT,SINGLE,1.000
198,32598.000,SINGLE,FIX,3.000
199,32599.000,FIX,FLOAT,1.000
202,32602.000,FLOAT,SINGLE,3.000
203,32603.000,SINGLE,FLOAT,1.000
204,32604.000,FLOAT,SINGLE,1.000
210,32610.000,SINGLE,FLOAT,6.000
214,32614.000,FLOAT,SINGLE,4.000
219,32619.000,SINGLE,FLOAT,5.000
221,32621.000,FLOAT,SINGLE,2.000
222,32622.000,SINGLE,FLOAT,1.000
223,32623.000,FLOAT,SINGLE,1.000
224,32624.000,SINGLE,FLOAT,1.000
227,32627.000,FLOAT,SINGLE,3.000
228,32628.000,SINGLE,FLOAT,1.000
230,32630.000,FLOAT,SINGLE,2.000
231,32631.000,SINGLE,FIX,1.000
232,32632.000,FIX,SINGLE,1.000
237,32637.000,SINGLE,FIX,5.000
238,32638.000,FIX,SINGLE,1.000
240,32640.000,SINGLE,FLOAT,2.000
243,32643.000,FLOAT,FIX,3.000
245,32645.000,FIX,FLOAT,2.000
247,32647.000,FLOAT,SINGLE,2.000
249,32649.000,SINGLE,FLOAT,2.000
252,32652.000,FLOAT,FIX,3.000
254,32654.000,FIX,SINGLE,2.000
257,32657.000,SINGLE,FLOAT,3.000
259,32659.000,FLOAT,SINGLE,2.000
262,32662.000,SINGLE,FLOAT,3.000
264,32664.000,FLOAT,SINGLE,2.000
265,32665.000,SINGLE,FLOAT,1.000
266,32666.000,FLOAT,SINGLE,1.000
270,32670.000,SINGLE,FLOAT,4.000
275,32675.000,FLOAT,SINGLE,5.000
276,32676.000,SINGLE,FIX,1.000
278,32678.000,FIX,SINGLE,2.000
280,32680.000,SINGLE,FIX,2.000
281,32681.000,FIX,FLOAT,1.000
292,32692.000,FLOAT,SINGLE,11.000
293,32693.000,SINGLE,FLOAT,1.000
295,32695.000,FLOAT,FIX,2.000
296,32696.000,FIX,FLOAT,1.000
298,32698.000,FLOAT,FIX,2.000
